Application/Permit Number,Permit Type,Address,Category,Action Type,Work Type,Value,Application Date,Issue Date,Final Date,Expiration Date,Status,Master Use Permit,Latitude,Longitude
6258402,Construction,4530 46TH AVE NE,COMMERCIAL,ADD/ALT,No plan review,14000,12/15/10,12/15/10,1/14/11,6/15/12,Permit Closed,,47.66220385,-122.2779777
6261354,Construction,1301 2ND AVE,COMMERCIAL,ADD/ALT,Plan Review,315000,11/23/10,12/15/10,5/26/11,6/15/12,Permit Closed,,47.60740726,-122.3377828
6256740,Construction,1000 E PIKE ST,COMMERCIAL,ADD/ALT,Plan Review,240000,11/23/10,12/15/10,6/2/11,6/15/12,Permit Closed,,47.61421806,-122.3193099
6261113,Construction,55 BELL ST,COMMERCIAL,ADD/ALT,Plan Review,41650,10/18/10,12/15/10,3/18/11,6/15/12,Permit Closed,,47.61218226,-122.3477099
6269562,Construction,7500 DETROIT AVE SW,COMMERCIAL,ADD/ALT,No plan review,20000,12/16/10,12/16/10,2/1/11,6/16/12,Permit Closed,,47.53586571,-122.3383979
6259226,Construction,140 4TH AVE N,COMMERCIAL,ADD/ALT,No plan review,150000,12/16/10,12/16/10,3/28/11,6/16/12,Permit Closed,,47.61915912,-122.3485868
6263519,Construction,3642 33RD AVE S,COMMERCIAL,ADD/ALT,Plan Review,60000,12/1/10,12/16/10,2/2/11,6/16/12,Permit Closed,,47.57059802,-122.2904884
6265418,Construction,1301 2ND AVE,COMMERCIAL,ADD/ALT,Plan Review,35000,12/1/10,12/16/10,4/1/11,6/16/12,Permit Closed,,47.60740726,-122.3377828
6264283,Construction,3917 AURORA AVE N,COMMERCIAL,ADD/ALT,Plan Review,25000,11/24/10,12/16/10,12/28/10,6/16/12,Permit Closed,,47.65472754,-122.3476692
6261636,Construction,411 UNIVERSITY ST,COMMERCIAL,ADD/ALT,Plan Review,700000,10/26/10,12/16/10,2/28/11,6/16/12,Permit Closed,,47.6080434,-122.3339199
6268476,Construction,2015 WESTERN AVE,COMMERCIAL,ALTER,Plan Review,76000,12/6/10,12/16/10,2/14/11,6/16/12,Permit Closed,,47.61083028,-122.3448734
6268143,Construction,1201 4TH AVE,COMMERCIAL,ALTER,Plan Review,40000,12/1/10,12/16/10,1/31/11,6/16/12,Permit Closed,,47.60765132,-122.3348139
6268145,Construction,919 4TH AVE,COMMERCIAL,ALTER,Plan Review,294000,12/1/10,12/16/10,5/23/11,6/16/12,Permit Closed,,47.60549679,-122.3332089
6267767,Construction,622 BROADWAY,COMMERCIAL,ALTER,Plan Review,2411200,11/29/10,12/16/10,,6/16/12,Permit Issued,,47.60779023,-122.3201477
6267750,Construction,1001 WESTERN AVE,COMMERCIAL,ALTER,Plan Review,461950,11/29/10,12/16/10,4/22/11,6/16/12,Permit Closed,,47.60449295,-122.3380458
6266948,Construction,114 WESTLAKE AVE N,COMMERCIAL,NEW,Plan Review,177696,11/16/10,12/16/10,4/20/11,6/16/12,Permit Closed,,47.61921397,-122.3380835
6269768,Construction,311 FAIRVIEW AVE N,COMMERCIAL,ADD/ALT,No plan review,1200,12/17/10,12/17/10,2/22/11,6/17/12,Permit Closed,,47.62116459,-122.334776
6265589,Construction,2201 E MADISON ST,COMMERCIAL,ADD/ALT,No plan review,60000,12/17/10,12/17/10,3/1/11,6/17/12,Permit Closed,,47.61799488,-122.30321
6264298,Construction,500 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,Plan Review,35800,12/1/10,12/17/10,3/9/11,6/17/12,Permit Closed,,47.62354349,-122.3380902
6262688,Construction,1517 12TH AVE,COMMERCIAL,ADD/ALT,Plan Review,350000,10/1/10,12/17/10,5/10/11,6/17/12,Permit Closed,,47.61459852,-122.3172589
6267829,Construction,401 1ST AVE S,COMMERCIAL,ALTER,Plan Review,240000,11/29/10,12/17/10,3/24/11,6/17/12,Permit Closed,,47.59903092,-122.3346285
6268120,Construction,1001 WESTERN AVE,COMMERCIAL,ALTER,Plan Review,112000,12/1/10,12/17/10,2/14/11,6/17/12,Permit Closed,,47.60449295,-122.3380458
6261962,Site Development,4850 BEACON AVE S,COMMERCIAL,GRADING,Plan Review,1,11/30/10,12/17/10,5/23/11,6/17/12,AP Closed,,47.55942547,-122.3039335
6269940,Construction,901 5TH AVE,COMMERCIAL,ADD/ALT,No plan review,39900,12/20/10,12/20/10,1/24/11,6/20/12,Permit Closed,,47.60616219,-122.331663
6269479,Construction,401 8TH AVE N,COMMERCIAL,ADD/ALT,No plan review,67000,12/20/10,12/20/10,2/17/11,6/20/12,Permit Closed,,47.62231776,-122.34146
6269881,Construction,530 FAIRVIEW AVE N,COMMERCIAL,ADD/ALT,No plan review,50377,12/20/10,12/20/10,2/18/11,6/20/12,Permit Closed,,47.62395546,-122.3339338
6262849,Construction,94 PIKE ST,COMMERCIAL,ADD/ALT,Plan Review,10000,12/9/10,12/20/10,1/19/12,6/20/12,Permit Closed,,47.60896041,-122.3405378
6264683,Construction,101 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,Plan Review,25000,12/2/10,12/20/10,,6/20/12,Permit Closed,,47.61887749,-122.3388557
6258277,Construction,4423 CORLISS AVE N,COMMERCIAL,ADD/ALT,Plan Review,28013,11/24/10,12/20/10,7/22/11,6/20/12,Permit Closed,,47.66099983,-122.3316836
6253898,Construction,7141 CALIFORNIA AVE SW,COMMERCIAL,ADD/ALT,Plan Review,3500,11/22/10,12/21/10,2/7/11,6/21/12,Permit Closed,,47.53866471,-122.3876275
6261931,Construction,3317 E UNION ST,COMMERCIAL,ADD/ALT,Plan Review,29500,10/21/10,12/21/10,12/4/12,6/21/12,Permit Closed,,47.61274502,-122.2895718
6187614,Construction,901 STEWART ST,COMMERCIAL,NEW,Plan Review,6997666,7/20/10,12/21/10,6/20/12,6/21/12,Permit Closed,3009393,47.61562663,-122.3339158
6270230,Construction,912 THOMAS ST,COMMERCIAL,ADD/ALT,No plan review,35000,12/22/10,12/22/10,2/16/11,6/22/12,Permit Closed,,47.62101425,-122.3395392
6270220,Construction,720 OLIVE WAY,COMMERCIAL,ADD/ALT,No plan review,40000,12/22/10,12/22/10,3/7/11,6/22/12,Permit Closed,,47.61418477,-122.3348677
6266485,Construction,4501 ROOSEVELT WAY NE,COMMERCIAL,ADD/ALT,Plan Review,56659,12/10/10,12/22/10,2/14/11,6/22/12,Permit Closed,,47.66178717,-122.3181394
6262794,Construction,1112 N 98TH ST,COMMERCIAL,ADD/ALT,Plan Review,1000,11/10/10,12/22/10,1/5/11,6/22/12,Permit Closed,,47.70088684,-122.343833
6261040,Construction,120 CROCKETT ST,COMMERCIAL,ADD/ALT,Plan Review,49075,9/22/10,12/22/10,2/15/11,6/22/12,Permit Closed,,47.63779099,-122.3548182
6262999,Construction,800 UNION ST,COMMERCIAL,ALTER,Plan Review,95815,10/5/10,12/22/10,4/25/11,6/22/12,Permit Closed,,47.61195348,-122.3316861
6267537,Construction,1301 2ND AVE,COMMERCIAL,ALTER,Plan Review,600000,11/22/10,12/22/10,5/2/11,6/22/12,Permit Closed,,47.60740726,-122.3377828
6155733,Demolition,636 S RIVERSIDE DR,COMMERCIAL,DEMOLITION,No plan review,1,12/22/10,12/22/10,1/27/11,6/22/12,Permit Closed,3006040,47.53471112,-122.3256621
6260113,Construction,2206 CALIFORNIA AVE SW,COMMERCIAL,NEW,Plan Review,416200,10/15/10,12/22/10,11/8/11,6/22/12,Permit Closed,3011933,47.58375441,-122.3861803
6255078,Construction,901 STEWART ST,COMMERCIAL,NEW,Plan Review,336170,7/20/10,12/22/10,,6/22/12,Permit Closed,3009393,47.61562663,-122.3339158
6270369,Construction,2601 W MARINA PL,COMMERCIAL,ADD/ALT,No plan review,25000,12/27/10,12/27/10,7/13/12,6/27/12,Permit Closed,,47.63070206,-122.3899481
6262345,Construction,999 3RD AVE,COMMERCIAL,ADD/ALT,Plan Review,135000,10/29/10,12/27/10,3/18/11,6/27/12,Permit Closed,,47.60505199,-122.3342878
6260861,Construction,668 S LANE ST,COMMERCIAL,ADD/ALT,Plan Review,4750,10/22/10,12/27/10,9/5/12,6/27/12,Permit Closed,,47.59696625,-122.324138
6267566,Construction,720 OLIVE WAY,COMMERCIAL,ALTER,Plan Review,650652,11/23/10,12/27/10,,6/27/12,Permit Issued,,47.61418477,-122.3348677
6270432,Demolition,151 S HORTON ST,COMMERCIAL,DEMOLITION,No plan review,1,12/27/10,12/27/10,,6/27/12,Permit Issued,3011475,47.57391018,-122.3322847
6265652,Construction,2901 27TH AVE S,COMMERCIAL,TEMP,Plan Review,1,11/22/10,12/27/10,,6/27/12,Permit Closed,,47.57727757,-122.2993078
6270515,Construction,1508 NE 117TH ST,COMMERCIAL,ADD/ALT,No plan review,2000,12/28/10,12/28/10,,6/28/12,Permit Closed,,47.71416547,-122.312147
6270513,Construction,4200 RAINIER AVE S,COMMERCIAL,ADD/ALT,No plan review,1000,12/28/10,12/28/10,2/9/11,6/28/12,Permit Closed,,47.56551435,-122.2882866
6268363,Construction,1700 WESTLAKE AVE N,COMMERCIAL,ADD/ALT,Plan Review,150000,12/3/10,12/28/10,3/14/11,6/28/12,Permit Closed,,47.63376599,-122.339698
6263247,Construction,2500 SW BARTON ST,COMMERCIAL,ADD/ALT,Plan Review,24000,11/12/10,12/28/10,3/10/11,6/28/12,Permit Closed,,47.52254474,-122.3662842
6264100,Construction,8014 LAKE CITY WAY NE,COMMERCIAL,ADD/ALT,Plan Review,12000,11/10/10,12/28/10,1/3/11,6/28/12,Permit Closed,,47.68679939,-122.3124724
6263768,Construction,509 OLIVE WAY,COMMERCIAL,ADD/ALT,Plan Review,180000,11/8/10,12/28/10,4/7/11,6/28/12,Permit Closed,,47.61275016,-122.3368671
6263250,Construction,2500 SW BARTON ST,COMMERCIAL,ADD/ALT,Plan Review,15000,10/25/10,12/28/10,,6/28/12,Permit Closed,,47.52254474,-122.3662842
6261078,Construction,4245 ROOSEVELT WAY NE,COMMERCIAL,ADD/ALT,Plan Review,85000,10/18/10,12/28/10,1/9/12,6/28/12,Permit Closed,,47.65884742,-122.3183154
6264473,Construction,3540 WALLINGFORD AVE N,COMMERCIAL,NO CONSTRUCTION,Plan Review,1,12/1/10,12/28/10,7/17/12,12/28/13,Permit Closed,3011029,47.65040711,-122.336109
6270371,Construction,1932 1ST AVE,COMMERCIAL,ADD/ALT,No plan review,5000,12/29/10,12/29/10,1/24/11,6/29/12,Permit Closed,,47.61108861,-122.3421831
6262139,Construction,309 S CLOVERDALE ST,COMMERCIAL,ADD/ALT,Plan Review,25000,11/10/10,12/29/10,2/25/11,6/29/12,Permit Closed,,47.52469436,-122.3325375
6257533,Construction,1341 N NORTHLAKE WAY,COMMERCIAL,ADD/ALT,Plan Review,500000,9/14/10,12/29/10,3/3/11,6/29/12,Permit Closed,,47.64747091,-122.3408788
6257261,Construction,601 PINE ST,COMMERCIAL,ADD/ALT,Plan Review,1120000,8/10/10,12/29/10,5/3/11,6/29/12,Permit Closed,,47.6120339,-122.3348715
6190994,Construction,860 TERRY AVE N,COMMERCIAL,ADD/ALT,Plan Review,19000000,7/23/10,12/29/10,12/12/12,12/29/13,Permit Closed,,47.62759814,-122.3366269
6270794,Construction,1100 DEXTER AVE N,COMMERCIAL,ADD/ALT,No plan review,50000,12/30/10,12/30/10,,6/30/12,Permit Closed,,47.62929639,-122.3419511
6268233,Construction,4100 SPOKANE LN NE,COMMERCIAL,ADD/ALT,Plan Review,190000,12/2/10,12/30/10,6/22/11,6/30/12,Permit Closed,,47.65715167,-122.3083945
6263104,Construction,618 BROADWAY E,COMMERCIAL,ADD/ALT,Plan Review,115000,11/5/10,12/30/10,,6/30/12,Permit Issued,,47.62495071,-122.3206255
6259194,Construction,1518 1ST AVE S,COMMERCIAL,ADD/ALT,Plan Review,375000,9/14/10,12/30/10,4/26/13,12/30/13,Permit Closed,,47.58959018,-122.3337069
6270921,Construction,2111 N NORTHGATE WAY,COMMERCIAL,ADD/ALT,No plan review,20000,1/3/11,1/3/11,,7/3/12,Permit Closed,,47.70842911,-122.3332139
6270919,Construction,4909 25TH AVE NE,COMMERCIAL,ADD/ALT,No plan review,10000,1/3/11,1/3/11,3/22/11,7/3/12,Permit Closed,,47.66461702,-122.3014341
6270902,Construction,3401 RAINIER AVE S,COMMERCIAL,ADD/ALT,No plan review,50000,1/3/11,1/3/11,,7/3/12,Permit Issued,,47.57257725,-122.2943801
6270485,Construction,703 COLUMBIA ST,COMMERCIAL,ADD/ALT,Plan Review,17500,12/29/10,1/3/11,2/9/11,7/3/12,Permit Closed,,47.60601913,-122.327947
6264413,Construction,600 UNIVERSITY ST,COMMERCIAL,ADD/ALT,Plan Review,350000,11/29/10,1/3/11,5/5/11,7/3/12,Permit Closed,,47.60967252,-122.3323065
6263684,Construction,157 YESLER WAY,COMMERCIAL,ADD/ALT,Plan Review,128400,11/10/10,1/3/11,3/15/12,7/3/12,Permit Closed,,47.60146946,-122.3324974
6261363,Construction,1301 2ND AVE,COMMERCIAL,ADD/ALT,Plan Review,2400000,10/20/10,1/3/11,8/17/11,7/3/12,Permit Closed,,47.60740726,-122.3377828
6255795,Construction,6900 EAST GREEN LAKE WAY N,COMMERCIAL,ADD/ALT,Plan Review,174570,10/18/10,1/3/11,4/13/11,7/3/12,Permit Closed,,47.67815547,-122.3261466
6258674,Construction,1425 4TH AVE,COMMERCIAL,ADD/ALT,Plan Review,525000,9/30/10,1/3/11,6/6/11,7/3/12,Permit Closed,,47.60992037,-122.3368814
6251785,Construction,6420 CALIFORNIA AVE SW,COMMERCIAL,ADD/ALT,Plan Review,10000,9/1/10,1/3/11,,7/3/12,Permit Closed,3011414,47.54548251,-122.3867795
6240127,Construction,2213 15TH AVE W,COMMERCIAL,ADD/ALT,Plan Review,200000,4/12/10,1/3/11,6/14/11,7/3/12,Permit Closed,,47.63907533,-122.3767727
6254759,Construction,130 S KENYON ST,COMMERCIAL,NEW,Plan Review,13433980,9/15/10,1/3/11,5/22/12,7/3/12,Permit Closed,3010411,47.53246568,-122.3330573
6271067,Construction,2001 4TH AVE,COMMERCIAL,ADD/ALT,No plan review,10000,1/4/11,1/4/11,,7/4/12,Permit Closed,,47.61304116,-122.3406009
6268944,Construction,55 BELL ST,COMMERCIAL,ADD/ALT,Plan Review,28000,12/15/10,1/4/11,11/15/12,7/4/12,Permit Closed,,47.61218226,-122.3477099
6264529,Construction,600 5TH AVE,COMMERCIAL,ADD/ALT,Plan Review,225000,11/24/10,1/4/11,12/23/11,7/4/12,Permit Closed,,47.60421147,-122.3292032
6261314,Construction,5811 RAINIER AVE S,COMMERCIAL,ADD/ALT,Plan Review,20000,11/12/10,1/4/11,5/26/11,7/4/12,Permit Closed,,47.55014509,-122.2774567
6260690,Construction,1326 5TH AVE,COMMERCIAL,ADD/ALT,Plan Review,40000,11/2/10,1/4/11,4/5/12,7/4/12,Permit Closed,,47.60932305,-122.3338985
6222181,Construction,104 17TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,2100000,6/21/10,1/4/11,6/6/14,1/4/14,Permit Closed,,47.60140536,-122.3098373
6162971,Demolition,2328 HARBOR AVE SW,COMMERCIAL,DEMOLITION,No plan review,1,12/3/07,1/4/11,,1/4/14,Permit Closed,3008013,47.58266988,-122.3733113
6238706,Construction,3720 MONTLAKE BLVD NE,COMMERCIAL,NEW,Plan Review,98000000,2/19/10,1/4/11,,1/4/17,Permit Issued,3010762,47.65026795,-122.3038662
6238704,Construction,1919 NE PACIFIC PL,COMMERCIAL,NEW,Plan Review,5550000,2/16/10,1/4/11,,7/4/12,Permit Closed,3010762,47.65010951,-122.3052305
6238703,Construction,1918 NE PACIFIC PL,COMMERCIAL,NEW,Plan Review,450000,2/16/10,1/4/11,,7/4/12,CANCELLED,3010762,47.65109323,-122.3055266
6162970,Construction,2328 HARBOR AVE SW,COMMERCIAL,NEW,Plan Review,5009579,12/3/07,1/4/11,,1/4/17,Permit Issued,3008013,47.58266988,-122.3733113
6153386,Construction,2328 HARBOR AVE SW,COMMERCIAL,NEW,Plan Review,10915539,12/3/07,1/4/11,,1/4/17,Permit Issued,3008013,47.58266988,-122.3733113
6271031,Construction,720 E PIKE ST,COMMERCIAL,ADD/ALT,No plan review,7000,1/5/11,1/5/11,,7/5/12,Permit Closed,,47.61438165,-122.3222968
6265496,Construction,222 DEXTER AVE N,COMMERCIAL,ADD/ALT,Plan Review,21150,12/3/10,1/5/11,5/26/11,7/5/12,Permit Closed,,47.62038875,-122.3419621
6270400,Construction,1807 E HAMLIN ST,COMMERCIAL,ADD/ALT,No plan review,30000,1/6/11,1/6/11,6/18/12,7/6/12,Permit Closed,,47.64531512,-122.3086048
6267832,Construction,3019 SW MORGAN ST,COMMERCIAL,ADD/ALT,Plan Review,6000,12/27/10,1/6/11,2/1/11,7/6/12,Permit Closed,,47.54417772,-122.3707868
6265674,Construction,9701 SAND POINT WAY NE,COMMERCIAL,ADD/ALT,Plan Review,24000,12/14/10,1/6/11,6/16/11,7/6/12,Permit Closed,,47.69958566,-122.2779618
6263705,Construction,821 2ND AVE,COMMERCIAL,ADD/ALT,Plan Review,700000,11/16/10,1/6/11,5/12/11,7/6/12,Permit Closed,,47.60403796,-122.3349856
6261723,Construction,2905 4TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,85000,10/26/10,1/6/11,6/9/11,7/6/12,Permit Closed,,47.57734372,-122.3296289
6262960,Construction,308 OCCIDENTAL AVE S,COMMERCIAL,ADD/ALT,Plan Review,80000,10/26/10,1/6/11,1/9/12,7/6/12,Permit Closed,,47.59962187,-122.3324868
6130859,Construction,830 4TH AVE S,COMMERCIAL,ADD/ALT,Plan Review,560000,8/19/08,1/6/11,6/13/12,7/6/12,Permit Closed,,47.59502036,-122.3285303
6269714,Construction,701 5TH AVE,COMMERCIAL,ALTER,Plan Review,50000,12/17/10,1/6/11,2/22/11,7/6/12,Permit Closed,,47.60454089,-122.3307351
6217572,Construction,207 BOREN AVE N,COMMERCIAL,NEW,Plan Review,4639000,6/30/09,1/6/11,8/16/12,1/6/14,Permit Closed,3008520,47.62037756,-122.3362875
6266673,Construction,1518 1ST AVE S,COMMERCIAL,ADD/ALT,Plan Review,65000,12/22/10,1/7/11,2/14/11,7/7/12,Permit Closed,,47.58959018,-122.3337069
6246456,Construction,13355 LAKE CITY WAY NE,COMMERCIAL,ADD/ALT,Plan Review,3120000,7/20/10,1/7/11,1/15/13,1/7/14,Permit Closed,3011285,47.72599612,-122.2931539
6269594,Construction,601 UNION ST,COMMERCIAL,ALTER,Plan Review,215000,12/16/10,1/7/11,3/25/11,7/7/12,Permit Closed,,47.610431,-122.3320769
6269589,Construction,601 UNION ST,COMMERCIAL,ALTER,Plan Review,6406,12/16/10,1/7/11,3/16/11,7/7/12,Permit Closed,,47.610431,-122.3320769
6269592,Construction,600 UNIVERSITY ST,COMMERCIAL,ALTER,Plan Review,45060,12/16/10,1/7/11,1/28/11,7/7/12,Permit Closed,,47.60967252,-122.3323065
6266572,Construction,6532 PHINNEY AVE N,COMMERCIAL,TEMP,Plan Review,1,12/6/10,1/7/11,,7/7/12,Permit Closed,,47.67737399,-122.3528592
6269674,Construction,2500 4TH AVE,COMMERCIAL,ADD/ALT,Plan Review,40000,12/22/10,1/10/11,3/3/11,7/10/12,Permit Closed,,47.61706951,-122.3462574
